Geneid,PD_117_R10_S05#,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R14_S05#,PD_117_R15_S05#,PD_117_R16_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_117_R8_S05#1,PD_117_R9_S05#1
b0001,0.03670403999999827,-0.7761355800000018,-0.8116321100000015,-1.0555837440000015,-0.7638306800000016,-1.0822614470000005,-1.408341463000001,0.007711819999999037,-0.055049660000001666,0.047337839999999076,-0.12183013000000109,0.22256593999999907
b0002,-0.18164995233333325,1.6954073686666664,1.2906625506666671,1.311992591666666,2.3700632526666663,1.746960983666666,1.6242732886666662,-0.0727435923333335,-0.005380971333333484,0.07812456366666698,-0.05433010633333346,-0.26111330633333374
b0003,-0.057479157999999586,1.3856754320000002,1.0840307319999996,1.0442263570000003,1.9389780350000008,1.9571087030000003,1.9692583929999996,-0.09605851300000001,0.012906908000000605,0.0831516050000003,0.07808116700000056,0.08326562100000068
b0004,0.09730361166666679,1.1188746106666665,1.0775376756666661,0.9295171316666666,1.751742377666667,1.7417497456666657,1.797631110666667,-0.011451586333333985,-0.04114425033333369,0.052595836666666784,0.28432866666666623,0.34699495666666635
b0005,0.0422087470000001,1.661063285,1.524712536,1.7839020339999996,1.9221370039999996,2.0703145119999995,1.7822544100000002,-0.18428628099999989,0.2209809939999996,-0.036694713000000156,-0.22017980400000026,-0.26346770200000025
b0006,0.22293152200000055,-0.11249122699999958,0.0036550130000003733,-0.17416355199999956,0.08168596400000006,0.05865431199999982,0.2580346640000002,-0.03517889899999993,-0.08061550700000009,0.11579440600000002,0.2790683490000001,0.3209236020000006
b0007,-0.015776229666666364,0.18660609733333366,0.06290686233333354,0.12464636133333373,0.0901601073333338,-0.07561460566666645,-0.12118434866666616,-0.14582449966666644,0.00042458933333344717,0.14539991033333388,0.009598719333333783,-0.10900168066666627
b0008,0.09594843333333358,0.6272307833333333,0.6879643533333333,0.6739054533333331,1.013006803333333,0.9590265633333335,1.0135584133333335,-0.004551270666667051,-0.012448920666667362,0.017000191333332637,-0.03150707666666719,-0.015450212666666019
b0009,0.05465599799999943,0.599168828999999,0.7117353219999991,0.6201190529999998,1.0716847049999991,1.1056539219999992,1.0955044529999993,-0.06196372600000011,-0.021146631000000582,0.0831103569999998,0.3471881829999992,0.1609540849999993
b0010,0.14245663699999955,-0.02907158100000018,-0.13037706400000015,-0.28947347999999984,-0.2346705010000001,-0.4373631429999998,-0.24124337399999973,0.06210796500000004,0.04625748199999968,-0.10836544699999973,0.045161530999999755,0.16280916599999973
b0011,0.042994266,0.09148133400000003,0.19486770099999973,0.17310635399999974,-0.06257264800000018,0.363114366,-0.07603512100000032,0.051603253999999765,0.07125960599999992,-0.12286286000000013,-0.34001608699999997,-0.10184379600000026
b0012,0.1866066253333334,0.25164494933333337,0.4310073963333333,0.2404009353333333,0.5666896643333333,0.8115447923333334,0.9317514513333334,0.17992266733333329,-0.19065614266666667,0.010733475333333353,-0.18168127166666667,-0.41752945566666666
b0013,0.5676815963333334,1.0006495203333334,0.9203614933333334,0.5423732883333335,0.9949599853333334,1.0666727353333334,0.7813888093333333,-0.3498918946666666,0.16959188933333336,0.18030000533333335,0.2005254253333334,0.03689179633333339
b0014,0.07283631266666646,0.9081217876666674,0.8706565176666672,0.9291005876666674,0.9674992776666667,0.7070515926666658,0.7788301476666675,-0.06540101833333267,0.06623213366666647,-0.0008311153333337984,0.0613711806666668,0.19911127466666656
b0015,-0.09039306166666705,0.5219354853333336,0.6521500213333331,0.6600862723333334,0.5532063103333336,0.3998633053333336,0.5005386963333329,-0.10167136666666643,0.09048819533333319,0.011183171333333242,0.1204311623333334,0.14079665933333274
b0016,0.15864948499999976,1.6761103109999995,1.6859565189999994,1.8306553249999995,1.3259765139999997,1.4938242639999997,1.4868774889999994,-0.030949859999999774,0.06145874899999981,-0.03050888900000004,0.08038001699999953,0.04735256399999965
b0018,-0.35545263199999955,-0.11287298899999954,0.3738161919999996,0.6184323240000005,-0.12049719100000011,-0.10366065599999974,-0.11440806800000036,0.22926417499999996,-0.020274001999999847,-0.2089901730000001,0.1076374969999998,0.26850119900000013
b4412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0019,-0.45508084433333273,-1.0410116113333325,-0.9002383113333323,-1.0952440143333328,-1.3600712603333331,-1.421655980333333,-1.4433095593333327,0.01152843166666706,-0.03912820833333264,0.027599776666667353,-0.303750522333333,-0.2233233713333327
b0020,-0.07936304800000027,-0.06579299300000052,-0.17533338600000015,-0.053007357000000255,-0.2614647630000002,-0.4563685290000006,-0.442746112,-0.019496146999999908,0.003130093999999417,0.016366052999999603,-0.06138500499999999,-0.05292577200000004
b0021,-0.6671706980000001,-1.1915078990000003,-1.4453504600000002,-2.2535394670000004,-1.627151105,-1.6458113120000002,-2.1283700960000003,-0.07446976500000035,0.016165959999999924,0.058303804999999986,0.346187102,0.4442500739999997
b0022,0.09383281299999968,-1.694604644,-2.12406869,-2.0809910069999997,-1.774258836,-1.3027925619999996,-1.8266606149999998,0.047360691999999815,-0.014676166000000102,-0.032684525999999714,0.20686867600000003,0.09594581500000032
b0023,0.2886462999999999,-0.4240988689999998,-0.3273066,-0.48123289499999977,-0.10971554999999888,-0.18170485999999997,0.03297752000000109,0.07651586000000066,-0.08147675999999926,0.004960900000000379,0.2684299800000005,0.29922407000000106
b0024,0.03342006399999953,0.821893277,0.6447503149999996,0.5252214720000001,0.7805418900000003,0.7426808620000003,0.2694652709999996,0.15856953900000015,0.09036956599999968,-0.24893910499999983,0.0672570229999998,0.01932761199999966
b0025,0.11615390366666567,0.20562893566666496,0.13093512966666587,0.12312357366666582,0.28005110466666494,0.3255689076666659,0.3547208006666658,0.02597500966666466,-0.00037235133333446413,-0.02560265833333375,0.011318433666666294,-0.06873857833333474
b0026,-0.197620809,0.3274439600000001,0.2906653429999988,0.3348498089999996,0.37064547700000006,0.32920145399999967,0.45066943199999976,-0.031261861000000835,0.031950430000000196,-0.000688569000001138,-0.10922485900000112,-0.08803186200000113
b0027,-0.3628937486666679,0.2202748183333325,0.2297235933333326,0.21587864133333223,0.11368834533333239,0.1481812343333324,0.17004498133333268,-0.03542776666666736,0.013404192333332787,0.022023574333332796,-0.07196216666666722,-0.06917845566666792
b0028,0.14569345766666597,0.6567814206666656,0.576682905666666,0.563317565666666,0.524953013666666,0.5626126636666662,0.5746927016666659,-0.05929574833333362,0.04817187566666625,0.011123872666666479,-0.07849112933333391,0.09425594266666604
b0029,-0.02765205233333301,0.42401759866666655,0.5498934116666669,0.5432169206666666,0.5203965546666662,0.5533163746666663,0.5403551516666667,0.0006264776666666805,-0.006720904333333166,0.006094426666666486,-0.05111080933333323,-0.05225925933333375
b0030,0.5295570486666668,1.2798970746666667,1.4876369796666662,1.6160989066666662,1.3574286096666661,1.1581219686666664,1.0540995616666669,0.04463038766666649,0.09955871266666616,-0.14418910033333354,0.3161656576666667,0.41582238066666655
b0031,-0.07713922566666653,0.019921617333332975,-0.2217344316666665,-0.2744345886666668,-0.581233399666667,-0.2960282516666668,-0.5157398386666667,-0.00036480966666641024,0.035588108333333146,-0.035223298666666736,0.31013665533333334,0.22429518033333373
b0032,0.2822599923333353,-0.14334998066666493,-0.34598072266666513,-0.32875274366666574,-0.8246529776666653,1.019780890333335,1.1929278613333345,0.005104230333333959,0.06151178033333515,-0.06661601066666556,0.2891592333333346,0.22508730933333432
b0033,-0.12888521099999917,0.052051242000001,-0.09386820799999906,-0.07944254399999906,-0.5234986929999987,-0.02057605099999904,0.29222477200000085,0.012067477000001325,-0.01530252199999893,0.0032350450000011577,-0.16916531699999915,-0.13612253699999854
b0034,0.018475065999999707,0.9940396800000002,0.8550368730000004,0.7111548729999999,1.1181643370000005,0.8388348350000001,0.7241383849999998,0.0921194940000003,-0.11569511599999949,0.023575622000000074,-0.06752085399999963,-0.10224272299999981
b0035,0.13504502733333323,0.5397012563333332,0.7980767663333332,0.5177669293333331,0.597538644333333,-0.027906325666666953,0.814495629333333,0.04515399733333325,0.26226139133333315,-0.30741538866666684,0.3702563953333331,0.6569922253333331
b0036,0.08665653133333362,0.2613800533333335,0.5383873113333335,0.8189341353333335,0.10680658833333356,0.4385279453333335,0.31638982633333357,0.27349514833333344,-0.4268510706666665,0.15335592233333362,-0.1274821726666665,-0.3124939436666665
b0037,0.24194249733333328,1.2160023093333334,1.1304287973333331,1.2889071133333332,1.5156801803333335,1.3692788673333334,1.3881206683333331,-0.13727431266666668,0.11082865733333325,0.02644565533333343,0.09673094433333329,0.08612208133333321
b0038,0.13369451466666638,1.1497951616666664,1.1531700696666665,1.1695483156666664,1.2986457296666662,1.3081090746666661,1.5527106666666661,-0.08590097433333366,0.17981964966666641,-0.09391867533333365,0.1451319376666662,0.3144423676666661
b0039,0.5011541849999999,1.3397822409999995,0.9124273869999997,1.1302144850000002,1.2163332060000003,1.5630851489999995,1.3740515070000003,-0.14531705100000014,-0.003561646000000085,0.14887869699999978,0.3552560040000001,0.34226886300000015
