"","rotated.PC1","rotated.PC2","rotated.PC3","rotated.PC4","rotated.PC5","rotated.PC6","rotated.PC7","rotated.PC8","rotated.PC9","rotated.PC10","rotated.PC11","rotated.PC12"
"PD_117_R10_S05#",-39.3089815427292,-19.4685704382429,-24.8812941099256,5.60509411572718,-26.8152107676866,0.852520075203887,8.99284240764361,1.71501699554645,1.75810535525462,-2.28014120460327,-4.93236876611399,3.14371466519036e-14
"PD_117_R11_S05#",40.8226246804839,26.0751372672317,-7.55444236981477,4.99712314341788,0.0114260125152242,-30.7235851328683,2.29545439628609,4.41174288983644,-1.99620246854664,-0.317128362643419,2.33798466412224,3.14371466519038e-14
"PD_117_R12_S05#",34.1487618670321,31.5106729092229,-4.25736238636372,5.4077498978652,7.93561359111387,13.4016223745127,17.470709198284,-13.139373419791,-5.04857608390688,-3.29589441022353,-8.19991746324935,3.14371466519039e-14
"PD_117_R13_S05#",33.2992209787959,30.922909247977,-8.56636545796705,6.94931237084911,-6.55331974598397,15.9829819949996,-17.8885811582761,10.5405053683379,6.73816479141018,3.2805887232432,5.75025320641472,3.14371466519038e-14
"PD_117_R14_S05#",48.7345066824963,-9.25747995704803,-4.08724648829855,-38.8704561396766,-0.96945626625984,2.29995046319771,1.5818904680746,3.47492490984627,-1.01224594903951,-0.954372768623417,0.0358055851206723,3.14371466519038e-14
"PD_117_R15_S05#",54.9640426587365,-26.9508197534767,7.15444728752414,7.15001313853245,-4.6147218449637,-3.18627616612956,-14.045843860613,-21.0019754000201,4.03954468131137,-5.5420006560788,1.60898006023817,3.14371466519039e-14
"PD_117_R16_S05#",57.1721972999036,-31.3144999141995,18.6988852013971,14.0184499855117,3.19174917615426,4.04767976374902,10.4880157287983,15.5926503965072,-2.63297327193222,6.12065479768522,-1.15535378459577,3.14371466519038e-14
"PD_117_R5_S05#1",-50.6180390747255,8.51625905978728,16.1418371607809,-3.86181651832492,-4.71519182575675,0.269507447309597,11.662194827906,-7.17276502622547,8.45964153912111,8.26436461334257,18.1652939744176,3.14371466519039e-14
"PD_117_R6_S05#1",-48.4599481747235,8.34833927848234,14.8973435719274,-3.84202914028359,-6.03826176981736,-2.5900897575082,-11.0206087191071,-3.37879300700076,-12.696862837431,15.0886172406487,-12.4245906080024,3.14371466519038e-14
"PD_117_R7_S05#1",-51.6131513888479,8.78589787894888,21.7877297728443,-1.53400392471844,0.241864498053423,-0.807068201668256,-2.51658227974094,7.7095665596522,4.3154986563653,-21.5211235591793,-5.47322456316445,3.14371466519039e-14
"PD_117_R8_S05#1",-38.5617371659993,-12.9124310486851,-14.3460656645076,0.409292034133784,23.5509055001756,-2.80906166436821,-2.13618717474751,0.163092753466424,16.8701265111213,6.68569086198757,-7.9503138856895,3.14371466519038e-14
"PD_117_R9_S05#1",-40.5794968204228,-14.2554145299979,-14.9874665175969,3.57127103696637,14.7746034424557,3.26181880357002,-4.88330383450792,1.08540697984452,-18.7942209237277,-5.5292552755555,12.237451580502,3.14371466519037e-14
