"","variance"
"PC1",31.5910224334414
"PC2",20.7021688274644
"PC3",8.65406335813753
"PC4",5.20025274204427
"PC5",4.20311111843901
"PC6",3.38060240988197
"PC7",3.0219298318472
"PC8",2.80542201742712
"PC9",2.72359890697581
"PC10",2.54333299972498
"PC11",2.365292380102
"PC12",2.34545446996593
"PC13",2.26873555641969
"PC14",2.17247890177191
"PC15",2.12525083560257
"PC16",1.98816097134252
"PC17",1.90912223941185
"PC18",1.59627096131738e-29
