Geneid,PD_117_R10_S05#,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R14_S05#,PD_117_R15_S05#,PD_117_R16_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_117_R8_S05#1,PD_117_R9_S05#1
b2217,9.391551988,9.400506414,9.301532539,9.265401997,9.585987833,9.503709091,9.517735634,9.150669039,9.144932527,9.12592743,9.254148358,9.24993047
b2218,5.503737385,5.829196103,5.863159527,5.78813475,5.759713967,5.794950047,5.843460539,5.397396921,5.4201285,5.457295036,5.550968337,5.440721238
b2219,4.12621708,4.038898044,3.917469621,4.141710095,3.781452254,3.745504248,3.423234314,3.881508785,3.760029821,3.725471698,3.989280722,3.945611122
b2220,4.682550903,4.78074801,4.590491851,4.634628238,4.417878771,4.72161997,4.551909898,4.470405633,4.577157738,4.416820404,4.494871547,4.516683655
b2221,4.695258751,2.157323084,1.120244768,1.64052507,4.018113406,3.80217906,3.977289951,2.325236275,2.753237455,2.600958836,4.539886881,4.627550231
b2222,3.488516823,1.679383956,1.032835459,0.517392715,2.920808944,3.029930095,2.632250387,1.411265147,1.717385712,1.840019248,3.647881278,3.737761545
b2223,3.408162311,2.136337975,1.71346236,2.112833212,2.858531081,2.60379327,2.900684437,2.027951118,2.067102078,1.770716438,3.368681344,3.49459563
b2224,3.587386587,2.732840768,3.203113464,2.84024906,3.284844102,3.236749173,3.270432086,2.989793447,3.046780507,2.964168009,3.9193949,3.77543646
b2225,2.528814682,3.301481811,3.002037392,3.39468664,2.559488962,3.015486532,2.792843415,2.891026045,2.661260577,2.861769295,2.530234373,2.839899362
b2226,2.225401295,3.092989203,2.904090544,3.142234117,2.875585446,3.254066616,2.655347825,2.225618158,2.311104919,2.173783251,2.252896256,2.257377742
b4500,1.890541191,2.35938722,2.481346349,2.489095618,2.370427858,2.235304292,2.385939897,1.978886407,1.98749475,1.851185977,1.958461589,1.995686017
