"","loadings.PC1","loadings.PC2","loadings.PC3","loadings.PC4","loadings.PC5","loadings.PC6","loadings.PC7","loadings.PC8","loadings.PC9","loadings.PC10","loadings.PC11","loadings.PC12"
"b0006",-0.00516771883350778,-0.0350466571934687,-0.0150393862562859,0.00591577795614433,0.0275483760571076,0.0098287006231358,0.0229481860294661,0.0155877615007503,-0.00734416257105389,-0.0247311181137802,-0.00816408559492394,-0.00140966153413363
"b0011",0.0098809777791271,0.0122897653195608,0.00638791445633188,0.0174473269222665,-0.0418312127939416,0.00593462276521357,-0.015714898405755,-0.0539299781894082,-0.0167662155859976,-0.00108911720353527,0.0144090384294795,-0.000954930824983705
"b0013",0.0184783288954303,-0.0019041493497895,-0.0124483835532369,-0.00284444613136125,-0.0115066213640969,-0.0126232627929266,0.00257900595284629,-0.00841877394473639,-0.00525948932910108,-0.0187878709436745,-0.0370254942969537,-0.00327120979218429
"b0015",0.0190452944666143,0.0136330657972775,-0.00546430903682456,-0.00149017026077678,0.0150891228342433,0.012189795209399,-0.00706991214637685,0.00784905912252655,-0.0100876219078231,0.00256255261970017,-0.0083276450780614,0.00225959077629211
"b0016",0.0201778206904251,0.0113071624779773,-0.00407058092309464,0.00712663689457825,-0.00286051242867377,0.00392704710542568,-0.00250499095950368,0.00117243728184934,0.0010254460477983,0.000946693604893899,-0.000924513170012126,0.00168775865563222
"b0026",0.0197872135437635,0.00663570778510925,0.0178364220931835,-0.00378233260187262,0.00274734244195776,0.00175791534623709,-0.00434813616475111,0.00864025691450256,-0.00578354612138855,0.00501623065062831,0.000686473086481119,-0.000678208051513186
"b0031",-0.0160426275210621,0.00606165553516372,-0.0177803394503389,0.0203256659933988,0.0279823471713774,-0.0275646786831975,-0.0108317600504958,-0.0130099826123426,0.000950555858263606,0.00462426760180749,0.00338619411306703,0.0018609847221512
"b0032",0.0017412332690406,-0.0312619481462013,0.0161851272455331,0.0492945007204161,0.00154510431442387,-0.00712904864460154,-0.00439814166310288,-0.00826276845735364,0.00314748883373412,0.00957171832578005,-0.000826403554283474,-0.00227751162204584
"b0034",0.0200274461678568,0.0081236846181742,3.8956397798788e-05,-0.013868860289444,-0.00468489855545365,-0.00675967303911273,0.00813995154897321,-0.00361515059091484,0.00417581409060934,-0.00777359568373441,0.00510809880870965,-0.00135053689890051
"b0035",0.0109230533478045,0.00425192035184586,-0.0220403398173101,0.00168689754854354,0.0304134443690316,0.015754145390354,0.0247842694930365,0.0256591171595699,-0.0420089884812573,0.0396499074883076,0.0013393189149512,0.00116462801265368
"b0036",0.0133787348178182,0.0163270749596758,0.00341690017240649,0.0190912438315337,-0.0182460259913863,0.0254870874263083,0.00600277861429156,-0.00187823393172575,0.0441526727615186,-0.0200985514623058,0.0246007596926615,0.00174854493779777
"b0039",0.0202641132906288,-0.00528759937622606,-0.00890431927326664,0.00621468333748056,-0.00341207595053593,-0.0082950845778109,-0.00866828341658586,0.00320874195356667,0.00288072129331826,-0.0112995921362113,-0.00272650921014394,-0.000405545282716587
"b0041",0.0027706097212161,0.00845034112830689,0.00138534581164587,0.0418879684860561,0.0103027373163086,-0.0494086699152919,0.0337490944110377,-0.0011595621345048,0.0291842940444716,1.16884712878977e-05,0.0338942474509015,-0.000159661269648166
"b0044",0.00833662335799245,0.00740959751007281,-0.00789810327611765,-0.0270600550035189,0.00255870614499052,-0.00986198026691589,0.00996891528601892,0.0260294046701378,-0.00468679269466813,-0.060282169489989,0.0585253341052673,-0.000531794962540019
"b0047",-0.0199856031339731,0.00932854473747261,0.00624383436144937,0.0135047496344267,0.00445008493003636,0.00752671496864806,3.28299642181416e-05,0.000330097253841467,-0.000205397310789108,0.0059034719813427,0.000584352354602604,-0.000367686024545876
"b0049",0.0197398211862146,0.00959097345789053,0.0160306517728589,0.00292149286692175,-0.00120691357493622,-0.00179220137807351,-0.00503359189966529,0.0053613751365113,0.00509454647947725,-0.0062681812608416,-0.00232817881135422,0.00152901402536168
"b0052",0.0190311889060282,0.00391988596678106,-0.00131023018643413,0.023890918788335,0.00243913680918175,-0.0128640986179486,-0.0170975218363677,0.000857915258123776,-0.00180538680606058,-0.0132159880622837,0.00233472236957389,0.00105642912204638
"b0056",-0.0173233220204809,-0.00915742488750159,-0.0133000501325082,0.000130331014208761,-0.0244178309037105,-0.0203545572564495,-0.00715485665793289,-0.0125565847742862,-0.00511000969635031,-0.0205368586056125,-0.0206376664087226,-0.00203515126884676
"b0061",-0.00928304199095627,-0.00485962610068907,0.0161642125603955,0.0193401480639817,-0.0232515281851141,-0.0434472288527077,0.0101469545471427,0.0118553730732878,-0.0212583697500073,-0.047396615622244,0.0318765486231044,-0.00181311213338915
"b0064",-0.0136219729750241,0.0255409798589171,-0.0274985038874218,-0.0171758835826269,0.00302857633764417,-0.00380306875989642,0.0137270233270972,0.00255656235596623,-0.00380378054122603,0.00576705327936739,-0.00450224618421939,-0.00221736155607417
"b0068",0.016905669546214,0.0194368667441568,-0.0131402657782151,0.0231689307429966,-0.00268049922730448,0.000173625065455954,0.00601091618561445,-0.000140354619658014,0.0141187782850913,0.00776944961459358,-0.00841899152948416,0.00110263678029342
"b0071",-0.0164579928327609,-0.0255597222512971,-0.015904462817969,-0.00431967889308997,0.000758801821353131,-0.0032039428910141,-0.000265244887229752,0.00226864426493445,0.00210865885258861,0.00510770966551622,-0.00300906070532617,-0.00117414296167869
"b0072",-0.0151493538711165,-0.0289094507241061,-0.0152508031635607,-0.00538151008716399,0.00580746626351917,-0.00125789748543461,-0.00317312474788913,0.00405898953619094,0.00229382116919613,0.0039895686147106,-0.00531055909584394,-0.000117796151591935
"b0073",-0.0128850519162679,-0.0329338571735349,-0.0177701808185797,0.00419232222851519,0.00801645423829587,0.00326532935045719,-0.00197361119815215,0.00496166351290428,-0.00095328464140183,0.00391997266025296,-0.00304573414133304,0.000210457731128485
"b0074",-0.00651487863158142,-0.0412701421814038,0.00172087752408865,0.0169886029661472,0.00467180243357776,0.0016863277745783,-0.00893681622961945,-0.00605818870664653,0.000742946698970986,0.00283203023230092,0.00165633479747098,-0.00184603632725265
"b0077",-0.019861683755858,-0.000538030211822407,0.00749614059817033,-0.0101550647012691,0.0167174218623276,-0.00876771272746734,-0.01279360045208,-0.00215501147572421,0.00343243020933801,0.000981480303418543,-0.006092296358702,0.000714564451606499
"b0083",-0.00258193053932627,0.020734339844522,0.00646746789574693,0.0444874086187288,-0.0297773743081691,-0.0242000346229411,0.0291381092688906,0.00426028333711349,0.0326766329465072,0.00408010717605966,0.00546816462740556,-0.000704397920037889
"b0085",0.0195303083410879,0.00461145870984763,-0.00291908865158767,-0.0145380521086968,0.0101207093653236,-0.000951394571325534,0.0146115083609953,-0.00932949956738626,-0.00621907747643042,-0.0119256153166353,0.0169797977757018,-0.000517416513820626
"b0087",0.00729394615386796,0.0147441806822002,0.021215207935419,-0.00715498330346703,0.040937317323426,-0.046714199128277,0.0222385570781343,0.00407755877284664,-0.0164614754721238,-0.0148543442030438,-0.0126876241604189,0.00242607945060052
"b0088",0.0158066095600576,0.0172764301523884,0.0135256863764263,0.0103915240269168,0.0223077675216456,-0.000684639500852108,0.0211733262505129,0.017014289601194,-0.0261147273180642,-0.00310202456426015,-0.00828250036276529,0.00145593586587481
"b0094",0.000791855313194452,0.0394357811595351,-0.000626036006109685,-0.00393711872877081,0.0308000425016091,-0.0107677110519523,0.000340761098904492,-0.0229238025614938,-0.00456930231837129,-0.00260533447300515,0.0145740277713053,0.00442781561786254
"b0096",0.0183359317655829,0.0159909164145564,-0.0174372330107267,-0.00155138231766536,0.00752281320393312,-0.000187094802478924,0.0156802786649392,-0.00539154798592618,-0.00199159757554807,-0.00386745766904482,0.00298316859899815,0.000703339253935144
"b0101",0.018896307106231,0.000637040777538869,0.0105402800388634,0.0240075564655342,-6.1275971296437e-05,0.00758955138712656,0.00582932183989669,0.0138545671040004,0.0029004311548434,-0.00739236371087265,-0.0191527758791377,-0.000369166881974489
"b0112",-0.0202476682249856,-0.0113639349177077,0.00398199871030795,-0.00440370243306061,0.000342434895833762,-0.0040737254227395,0.000800451556237024,-0.000423876536337364,-0.00172647201879265,0.00249459301583164,-0.000305411997336947,-0.000531948182913915
"b0116",0.0209595730479034,0.00252832797758021,-0.00264382251895658,-0.000182387539704479,0.000930154532890578,0.00375071542809509,4.83608435076381e-05,0.00194194874585207,0.000295035176540037,-0.000695006200970867,-0.000368858611516299,0.00114745622077929
"b0118",0.0194674617626279,0.0152413057802211,-0.00496761056368302,0.00654392587384551,0.00267714168002519,-0.00475402642062528,-0.00349368548731908,0.00793397205153549,-0.00673906173560785,0.00172572524228554,0.000964120465839467,0.000854277759794801
"b0122",0.0107048658718805,-0.0325711380473323,-0.00448530680377701,-0.0211814047466404,-0.0192474740980781,-0.0142015741282992,-0.0140442633739472,-0.00189318533585022,-0.00238511851779612,0.000326033274417384,0.0195002524340708,-0.0022227177348021
"b0124",-0.0203216454561206,-0.00786136703423682,0.00828866293963887,-0.00458896671935248,0.00774218929658502,-0.00170117963631857,-0.00624680817324686,-0.00237981741606203,-0.00420007182187021,0.00160244423604558,-0.000442761904393255,0.000395995853651351
"b0129",-0.013942040798978,0.0252211048944536,-0.0267467460421883,-0.0157920871278402,0.00735782011959367,-0.0094946512469908,-0.00500648726818297,-0.00171771628875155,0.0111657679515439,0.00582865407972729,-0.00182948852530502,0.000138101430215376
"b0132",0.00553107157894108,-0.00324854344033669,0.0103901977171473,-0.028738658018757,0.0436956254812332,0.000946498611682369,-0.0375165736131376,-0.0381220746312391,0.0352524735668219,-0.0155385679497628,0.0126021952888301,0.00371689151487184
"b0134",0.0208192298163249,0.00533327078083833,-0.00223969848337657,0.00496056005156043,-0.0012114525382494,-0.00138055626200998,0.000806571808705868,0.000889485790425426,0.0012863165411345,2.55938404529955e-05,-0.0016521229030944,0.000971589860181075
"b0136",-0.0125899053512976,-0.0147201152721135,0.00310075672117585,-0.0381795111079981,-0.0100772421975302,-0.0234483271100166,-0.00200528309971535,-0.00518811662336941,0.00862627693446294,0.0401322471926391,0.0234349363302361,-0.00302421523088508
"b0138",-0.0102819118405142,-0.0340640202606249,0.00126135660947027,0.00164285002258687,0.0292075032358467,0.0057461297363154,0.00741824269024929,0.00374603289445805,0.0102069975891644,-0.0154863654794114,0.0154372293852967,0.000894823402784392
"b0144",-0.000412516512649584,-0.0045318938447884,-0.0550387822907526,0.0226074457741931,0.00340670649345544,-0.0143740052110612,0.0141821433505286,0.0309642450713284,-0.0156432114075106,-0.0139649049047238,0.00440370366379206,-0.000445697496142875
"b0146",-0.0171485305294919,0.0190710203739568,-0.0134703066724238,-0.0130766544831971,0.0172141680041268,0.00132506078597574,-0.0135871620894737,-0.0104562224132208,0.00663577645714524,0.00106801499996292,-0.00452401285305587,0.00189908671901128
"b0148",0.0203374983490231,-0.0043676712910437,0.00572421029557828,0.011207523448095,0.00718092201599124,0.00116025865603163,0.00572288219853087,0.00151239363930294,-0.007449982887361,0.00979535952973759,0.00310825608939093,-0.00122724449975221
"b0150",0.0114958068722668,-0.0193624623655263,0.0229422907342005,0.00809094598609756,0.0106685321092388,0.020554718076407,0.0189346628053024,0.0395345719024478,-0.00501752194632805,0.0309102179699693,-0.0176629989623298,-0.000800405669428452
"b0151",-0.0198402838601214,-0.00274469470673273,-0.00488158587179836,0.00226254560476699,0.00227349119085168,0.0016022650515233,-0.0068533365163767,0.0293524876263765,0.002423128403355,0.00724393098128349,-0.00206837934923884,-0.00117763398617279
"b0157",-0.00630266115247234,0.0129962929397443,-0.0311978705304716,0.0498716003639413,0.0218734053135109,-0.00830060730397469,-0.00746550335512511,0.0120935599218975,-0.00200787812127358,-0.0251166380206554,0.00708371064575617,-0.00233615211066266
"b0159",0.0131433516868953,-0.0345379767121249,-0.00303248050996035,-0.00734671860911188,-0.00633807810425739,0.000467434253238282,0.000570949799918735,0.00413673870904821,0.00697005249825521,-0.0034451703977619,0.000812639978583502,-0.000300295016173477
"b0161",-0.00473053029880977,0.0383601321184417,-0.0121887356788829,0.0227333423271202,0.00540751366059296,-0.00521192383387304,0.0186589152412342,0.0211162602096574,-0.0020070956672084,-0.00580861300305721,-0.00727113764279935,0.00124788523528226
"b0168",0.0170323987789915,-0.0221548372181459,-0.00247015044204214,0.0153938820862766,0.00893861580849449,0.0126943453099242,0.010509405707336,0.000648593353162518,-0.012297231263261,-0.00178916887202449,-0.00175465639253723,0.000780149781615073
"b0170",0.0187201686846482,0.00807685661117346,-0.00642644266822936,0.0034387319527965,0.0119807541980296,0.0253508935974717,0.00708426824702147,0.0044441627730774,-0.00499713930821843,-0.0230298333891173,-0.00634103781826927,0.0015743723192246
"b0172",-0.0205440984442573,-0.00554230676475038,5.98318699814496e-05,-0.00384029467429004,0.00147324376954982,0.00132654925397219,0.00852647002255812,-7.87680145646414e-05,-0.00422090687188365,0.00176977110039921,0.0149051980628513,-0.00172709255044771
"b0180",0.0193162491436082,-0.00611964203084437,-0.00964808632554966,2.77054132326106e-05,-0.0092975110393433,-0.00757266867753663,0.0268083282579035,-0.00363666429518338,0.00410343689890953,-0.0092089728363508,-0.000562255792579356,-0.00108011833703752
"b0181",0.0185968255000063,0.000601345280099369,0.0185009763492683,-0.00450809713996571,0.000941552159306697,0.0167935082453764,0.0272242045656096,-0.0034620026179742,-0.00251203183287643,-0.00837286631334205,0.00420870444984983,0.00113831404783558
"b0187",-0.0078544434077506,0.00847169556257084,0.0223461909991785,-0.00109032340332543,0.0325745879840557,-0.0116900219139124,0.00585357036245206,0.0317994689123361,-0.0039749135455351,0.00430993961400443,-0.0729792457386817,0.00230890950287971
"b0189",-0.0184694522406649,0.0137260199135843,-0.00187175670565017,-0.00587408903729273,0.011925579297894,0.015531255024004,0.0213518576844141,0.00196785805546314,-0.000836409546003845,-0.0151979134332117,-0.00514582331156421,0.000574332898298695
"b0191",0.0190414913625161,0.0168726954457479,0.00162462440550469,-0.00098721878367284,-0.00262801445269807,-0.00857430051034182,-0.000590886216026043,0.012939806876523,-0.00770996663650175,-0.00806324223226356,-0.00450941739646556,-0.00019698349014774
"b0192",0.016846626739362,0.0239623597327449,0.0107368418217459,0.0030618245571964,-0.0103693084077791,0.00602236983125333,-0.00107976934405785,0.00137788416699708,0.000801475146340686,0.0156338388961071,0.00897924538222485,0.000641518549491107
"b0197",0.0179587944095554,-0.0166359653957555,-0.0120649390297686,-0.00556461613765258,-0.0122081099299347,0.00729457850027279,-0.00575702292352054,-0.00848313556824114,0.0046597959722411,0.0222982496315812,0.0117625935607593,-0.00156532048449718
"b0209",0.0206842582447407,0.00583164281569617,-0.000750929819506425,-0.00497644122457509,-0.00743991182910241,-0.00368898479392569,0.000766642748717948,-0.00197734764736539,-0.000149917443079817,0.00349247057414342,0.00143326125013814,0.000237646471804778
"b0212",0.0174858092340087,0.0109296557199027,-0.0239679892165857,0.0104084726235157,-0.0167652195723973,0.000452406742014628,-0.0125885310282975,0.00429216710763163,-0.00444260336381825,0.00952395575707092,-0.0173555153823799,-0.000377478470043896
"b0218",-0.00041180059796227,0.00629195323951925,-0.01814229066505,-0.0480660941949176,-0.0427429672698348,-0.0223981791438787,-0.00480530722639961,0.0306005855152014,0.00693728824964513,0.0040123990539138,-0.0242148499775151,-0.000627137255950572
"b0224",0.00475884325192873,-0.0375716885945535,-0.0101601295442853,-0.00880729377187576,-0.0173043419830147,-0.0318720489962479,-0.0148151365044332,-0.0043529062176476,-0.0101135121130081,0.0061355183239345,-0.000522546845449685,-0.0016510776691957
"b0225",0.0173506815554549,-0.0117406117703263,-0.00943555685677815,0.0175029170413021,-0.0145870406888795,-0.00989903741362716,0.00248420571832727,0.0149990293007053,0.023108530622357,-0.00859413781513876,-0.0261883102171153,0.000101414061387093
"b0226",-0.00933659313857817,-0.0314523426983529,-0.0131139771558885,0.00922506684204303,-0.0372653176727793,-0.00287757621033605,-0.00188301628092616,-0.0142211346547407,-0.00518475691226225,-0.00785133116684429,0.0159651610537937,-0.00267626427856603
"b0227",-0.0202167270664986,0.00467789851276393,0.00435451850826883,-0.00417893399671728,0.00596974716633074,-0.00842730075347806,-0.011022202041391,0.00144934750002822,-0.00810560391976232,0.0163777556932976,5.16290901904337e-05,-4.03370524672075e-05
"b0228",0.0150238173615151,0.0221972798133159,-0.0290746251654259,-0.0111738619613251,0.00239047036017162,0.0101180444175763,-0.00134786090026586,-0.00232456214777967,-0.0105224646095278,0.006642376359451,0.000347147968619624,0.000627999855911054
"b0230",0.013034991163339,0.00745158690809491,0.0113175915609817,0.00508718611370979,-0.0170082005377984,0.0403696181696262,-0.0232993291858373,0.0194705686358684,0.00125223550918981,-0.0156332491603526,-0.046930903017786,0.0013770473048484
"b0235",0.00591243041085629,-0.0193782478608347,0.0254827787036329,-0.0256944866169122,0.0380424354559164,0.0190146828732757,-0.0219488387345677,0.0171248716786543,-0.00250690138964569,0.0144143429201949,0.0345883702163314,-0.000247491434846384
"b0239",0.0204696258649082,-0.00444698426544322,-0.00674974355591414,0.000419615267512556,0.0104532847731119,-0.00215844830190522,-0.00225835152790295,-0.00175091879435106,-0.0123377198552536,0.000919212526447645,-0.00273056840831676,0.00075612928699675
"b0241",0.000778643474999108,-0.0167562073154701,-0.0389835688538799,-0.0169584062083415,-0.0410939979828035,-0.00817122502705659,-0.011516386166454,0.0172203114967024,0.0274937195923785,-0.00858941952153535,-0.0291102211806173,-0.00268672199937705
"b0242",-0.000471691444554251,-0.00853962350530366,0.011708039578529,-0.0198596699583318,0.0333618677606992,-0.046844839348963,-0.00598341066702427,0.0397249199540688,0.0297174863418634,0.0297618771636145,-0.0327982922030436,0.00360070086821345
"b4504",0.012008502966259,-0.00780317464604884,-0.0288053368981848,-0.000765809949096493,-0.0255888436844347,0.0164104475539681,0.0410670763872821,-0.00608028769616282,-0.0180302261194176,0.0251896009964874,0.0183054481380887,-0.00550384141275647
"b0247",0.00551086535672203,0.00852101349308904,-0.00536808287142032,-0.0174180078540329,0.014447410588549,-0.0463703552679789,-0.011741462494231,0.0418680177224717,-0.0179996776884671,-0.0130215785308592,-0.0601335587273851,-0.000441001645868487
"b0248",-0.00158119849867972,0.0217596590559346,0.0086724980177821,0.0306630711820558,4.25463418255087e-05,0.0608664850915937,-0.0122944310062575,-0.00996199641415706,-0.00112581935565972,-0.00557873897766416,-0.0286006900162186,0.00189612819431765
"b0260",0.00730657706007249,-0.0274769646735884,0.0320786711045323,0.0374398264650248,0.00292890291644885,-0.0117645217590514,0.000573148848943532,-0.00296724866214182,-0.000299524222177799,-0.00151064384663119,-0.00404546488015147,0.00233154649689657
"b0265",0.02023291264399,0.00126732097040171,-0.00443195165338145,-0.00124779413152247,-0.00105154670617254,-0.0141964690999434,-0.00959328475986793,0.00537171811170713,-0.0157531952340139,-0.00589717648316057,-0.00661219772515523,0.000427326008207687
"b0269",0.000178670395374822,0.0145161812568457,-0.0266842826505827,-0.030278079765495,0.00665347791824571,0.0444972257877531,-0.0171092899525286,0.0120552470966015,-0.0433948242785007,-0.0201256362579433,0.0250909665981017,-0.00233375002257123
"b0275",0.0194183188868682,0.00565356291507722,-0.005371418806753,-0.00568735586386406,0.00859809472361713,-0.0176681761011602,-0.00464564986316406,0.0109527470739416,-0.0213594718516966,-0.0101455852501198,0.0060816241147181,-0.000482110922348683
"b0276",0.0113893007850047,0.00832556419294035,-0.0241783460490476,-0.0270025818416065,0.0149582652843394,-0.0216523155600528,0.0217739328697535,-0.0205516088032083,0.0134474905603417,0.0342838066363116,0.0351147263418255,-0.0010270190759779
"b0278",0.0132965551074716,-0.00746294092232012,-0.0191038624405732,0.00170300330520175,0.0382838834282393,0.0214430877343789,0.0109212869923185,0.0303515406252161,-0.015534246553106,0.0287013585016921,0.005267013536184,0.00144391566276592
